Unnamed: 0,Num.,Height（ um）,Roughness （nm）,Length,Wideth,Adhesion (pN),Elastic modulus,Aspect Ratio,Unnamed: 9,Unnamed: 10
,,3.285,176.3,77.05,35.72,734.1,6.596,2.1570548712206,,
,,3.215,175.3,76.64,35.37,734.7,7.073,2.16680802940345,,
,,3.098,201.0,77.25,34.56,745.6,7.199,2.23524305555556,,
,,3.215,206.3,76.91,34.65,742.0,7.073,2.21962481962482,,
,,3.197,147.77,77.57,35.71,751.5,6.178,2.17222066647998,,
,,2.877,141.06,77.68,34.28,737.5,6.48,2.26604434072345,,
,,3.123,152.2,77.02,35.48,732.2,7.065,2.17080045095829,,
,,3.251,201.0,77.96,34.25,736.3,6.506,2.27620437956204,,
,,2.49,176.3,76.79,35.83,735.7,6.596,2.14317610940553,,
,,2.922,182.0,77.39,35.61,723.1,6.578,2.17326593653468,,
,,3.244,164.9,76.4,35.03,727.8,6.331,2.18098772480731,,
,,3.082,145.13,77.51,34.54,727.8,6.947,2.24406485234511,,
,,2.963,158.5,77.77,34.82,727.3,6.398,2.23348650201034,,
,,3.298,178.8,77.27,35.24,740.9,7.199,2.19267877412032,,
,,3.327,147.77,76.71,35.29,721.1,7.073,2.17370359875319,,
,,3.321,142.05,77.87,34.64,721.8,6.798,2.2479792147806,,
,,3.264,145.13,77.9,35.82,720.2,6.331,2.17476270240089,,
,5,1.858,164.8,118.2,44.98,635.7,6.12,2.62783459315251,,
,,1.991,205.4,117.8,44.64,638.9,6.137,2.63888888888889,,
,,2.03,195.3,117.6,44.17,636.9,6.024,2.66244057052298,,
,,2.07,180.0,117.1,45.91,635.4,6.114,2.55064256153344,,
,,2.012,211.2,116.8,44.26,635.5,6.028,2.63895164934478,,
,,1.901,159.8,117.7,45.64,638.8,6.025,2.57887817703769,,
,,2.073,164.8,117.3,44.78,641.3,6.058,2.61947297900849,,
,,2.105,189.8,116.8,44.71,642.8,6.07,2.61239096399016,,
,,1.833,155.0,116.7,44.39,636.3,6.097,2.62897048884884,,
,,2.04,156.5,116.3,45.81,638.9,7.23,2.53874699847195,,
,,2.082,160.8,116.6,44.73,634.1,6.613,2.60675162083613,,
,,2.087,175.5,117.8,45.29,635.0,7.219,2.60101567674983,,
,,1.934,195.3,116.2,44.93,634.2,6.527,2.58624527042065,,
,,2.111,169.9,116.1,45.06,635.4,7.539,2.57656458055925,,
,,2.019,153.1,117.5,45.77,633.5,7.462,2.56718374481101,,
,,2.067,164.2,118.1,46.11,633.7,7.306,2.56126653654305,,
,,1.995,164.8,116.5,44.73,630.7,6.741,2.60451598479767,,
,,2.121,159.7,117.4,45.45,639.9,7.013,2.58305830583058,,
,,2.111,153.1,116.3,45.16,638.4,7.304,2.57528786536758,,
,,2.022,161.6,117.8,44.78,636.8,7.84,2.63063867798124,,
,6,2.309,141.1,64.98,28.35,557.0,15.86,2.29206349206349,,
,,2.399,166.8,63.74,28.86,548.3,15.52,2.20859320859321,,
,,2.295,147.6,64.55,29.08,545.6,16.22,2.2197386519945,,
,,2.349,128.9,64.4,29.19,547.6,15.46,2.20623501199041,,
,,2.442,120.1,63.48,29.35,544.5,16.3,2.16286201022146,,
,,2.376,119.6,63.53,29.36,538.3,16.75,2.16382833787466,,
,,2.245,129.0,63.86,29.02,540.2,16.26,2.20055134390076,,
,,2.396,119.6,63.41,28.5,539.2,16.79,2.22491228070175,,
,,2.149,126.1,63.76,29.18,535.1,15.81,2.18505825908156,,
,,2.282,127.3,64.36,29.01,534.6,15.59,2.21854532919683,,
,,2.293,129.0,64.43,29.19,541.3,16.66,2.2072627612196,,
,,2.126,136.0,64.85,29.53,539.7,16.8,2.19607179139858,,
,,2.431,140.9,64.21,30.38,542.4,15.44,2.11356155365372,,
,,2.177,128.9,63.51,30.22,546.0,16.29,2.10158835208471,,
,,2.324,126.1,64.04,30.38,541.7,15.81,2.10796576695194,,
,,2.362,134.4,64.88,29.18,541.3,16.3,2.223440712817,,
,,2.345,128.2,64.85,29.75,531.5,15.46,2.17983193277311,,
,,2.336,146.3,63.49,30.75,533.9,15.86,2.06471544715447,,
,,2.055,140.9,63.99,30.55,534.1,15.71,2.09459901800327,,
,,2.207,150.5,64.16,30.72,547.6,16.15,2.08854166666667,,
,7,2.711,168.2,70.27,22.21,536.5,10.89,3.16389013957677,,
,,2.632,184.3,70.13,21.73,541.4,10.66,3.22733548090198,,
,,2.636,173.0,71.5,21.63,546.4,11.22,3.30559408229311,,
,,2.29,154.6,70.71,22.2,546.8,11.58,3.18513513513513,,
,,2.495,153.0,71.23,21.16,539.4,11.08,3.36625708884688,,
,,2.593,136.0,71.47,22.39,542.5,11.16,3.1920500223314,,
,,2.625,123.5,71.67,21.34,539.1,10.74,3.35848172446111,,
,,2.311,169.6,71.29,22.31,535.2,10.41,3.19542805916629,,
,,2.425,154.2,71.8,22.43,541.1,11.68,3.20106999554168,,
,,2.562,137.0,71.09,22.89,545.3,11.63,3.10572302315422,,
,,2.583,136.0,72.21,21.98,545.2,11.14,3.2852593266606,,
,,2.192,123.5,71.33,21.19,541.6,11.32,3.36621047663992,,
,,2.467,114.7,71.66,21.32,539.3,11.09,3.36116322701689,,
,,2.722,118.0,71.73,21.89,540.9,11.29,3.2768387391503,,
,,2.643,116.5,70.43,21.97,541.4,11.02,3.20573509330906,,
,,2.67,120.0,70.4,22.43,536.5,10.89,3.13865358894338,,
,,2.681,124.7,71.68,22.9,536.3,10.49,3.13013100436681,,
,,2.781,127.9,70.86,22.41,539.3,11.28,3.1619812583668,,
,,2.549,134.6,70.52,21.42,539.1,10.66,3.2922502334267,,
,,2.52,127.9,71.35,22.3,548.6,10.63,3.19955156950673,,
,8,4.453,136.0,82.3,23.17,768.4,9.89,3.55200690548123,,
,,4.487,132.6,81.46,23.3,767.2,9.626,3.49613733905579,,
,,4.262,133.5,82.66,21.87,766.8,9.219,3.77960676726109,,
,,4.443,144.2,81.45,22.81,767.4,9.074,3.57080227970189,,
,,4.078,116.3,82.55,22.56,763.1,8.534,3.65913120567376,,
,,4.457,153.6,82.58,22.32,765.1,8.685,3.69982078853047,,
,,4.244,139.0,81.82,22.67,766.8,8.012,3.60917512130569,,
,,4.262,126.7,82.88,22.93,767.6,9.626,3.61447884866986,,
,,3.689,129.3,81.23,21.84,769.8,9.133,3.71932234432234,,
,,3.981,131.7,81.4,22.58,768.4,8.586,3.60496014171834,,
,,3.368,122.5,81.23,23.05,766.8,9.845,3.52407809110629,,
,,4.401,136.0,81.98,22.57,765.4,9.133,3.6322552060257,,
,,3.991,121.8,81.45,23.17,765.9,9.626,3.51532153646957,,
,,3.667,136.0,81.24,23.19,768.6,9.272,3.503234152652,,
,,4.457,126.5,83.02,23.9,769.0,8.836,3.47364016736402,,
,,4.262,144.6,83.34,23.3,765.9,8.685,3.57682403433476,,
,,3.587,129.3,81.18,23.41,766.3,8.534,3.46774882528834,,
,,4.33,133.5,81.21,22.81,761.6,8.012,3.56028057869356,,
,,3.6,116.3,81.29,22.62,767.9,8.845,3.59372236958444,,
,,4.453,121.8,82.49,23.64,768.4,8.003,3.48942470389171,,
,9,1.941,161.7,91.19,35.11,523.2,8.809,2.59726573625748,,
,,1.788,163.5,91.11,35.97,524.7,8.679,2.53294412010008,,
,,1.94,194.5,91.44,34.13,521.0,9.616,2.67916788748901,,
,,1.941,160.0,91.07,34.12,525.9,8.991,2.66910902696366,,
,,2.045,161.7,91.31,35.08,525.2,8.075,2.60290763968073,,
,,1.973,144.7,91.83,34.58,526.6,8.791,2.65558126084442,,
,,2.001,163.5,91.65,34.4,525.4,8.009,2.66424418604651,,
,,1.934,174.2,92.07,34.05,526.7,9.727,2.70396475770925,,
,,2.015,148.4,91.49,34.83,531.4,8.943,2.62675854148722,,
,,1.849,157.5,90.05,33.83,528.2,8.809,2.66183860478865,,
,,1.975,161.7,92.57,34.92,531.2,8.987,2.65091638029782,,
,,1.843,163.5,91.78,33.12,536.4,9.328,2.77113526570048,,
,,1.788,148.4,91.28,33.98,528.5,8.541,2.68628605061801,,
,,1.98,145.0,91.29,34.83,527.6,9.672,2.62101636520241,,
,,1.717,143.4,91.78,33.19,523.6,8.809,2.76529075022597,,
,,2.027,144.7,91.02,34.87,522.9,9.672,2.61026670490393,,
,,1.941,151.7,91.47,33.28,522.8,8.964,2.74849759615385,,
,,1.859,150.8,91.61,34.91,523.1,8.541,2.62417645373818,,
,,1.759,154.2,92.41,33.23,523.6,8.027,2.78092085464941,,
,,1.992,157.5,92.44,33.76,522.8,8.414,2.73815165876777,,
,10,2.113,163.9,100.6,31.09,549.4,5.176,3.23576712769379,,
,,2.111,182.8,102.9,30.89,548.9,5.446,3.33117513758498,,
,,2.108,195.3,100.4,31.48,546.3,7.445,3.18932655654384,,
,,2.095,199.7,100.9,30.76,546.8,6.303,3.28023407022107,,
,,2.025,196.0,101.4,31.29,546.4,6.554,3.24065196548418,,
,,1.966,202.8,101.6,30.64,542.4,6.499,3.31592689295039,,
,,1.85,181.0,101.9,31.45,554.6,5.633,3.24006359300477,,
,,2.004,193.2,102.3,30.12,546.8,6.611,3.39641434262948,,
,,2.095,209.9,102.8,31.34,544.0,5.967,3.28015315890236,,
,,2.024,181.0,101.4,31.54,548.9,5.866,3.2149651236525,,
,,2.043,195.3,101.2,32.76,543.2,5.561,3.08913308913309,,
,,2.027,171.1,101.8,31.45,550.3,5.28,3.2368839427663,,
,,2.092,172.1,100.6,30.6,545.5,5.445,3.2875816993464,,
,,2.089,200.6,102.5,30.64,543.9,5.73,3.34530026109661,,
,,2.025,172.1,102.8,30.59,544.4,6.303,3.36057535142203,,
,,2.073,185.6,102.6,29.24,546.3,7.08,3.50889192886457,,
,,2.081,193.2,101.5,31.37,549.9,7.369,3.23557539050048,,
,,2.133,195.7,100.9,29.98,544.6,7.818,3.36557705136758,,
,,2.123,199.7,101.6,29.52,546.9,7.218,3.44173441734417,,
,,2.14,196.0,102.5,28.55,545.3,6.086,3.59019264448336,,
,11,4.302,146.9,115.5,33.03,812.6,7.42,3.49682107175295,,
,,4.338,123.3,114.9,32.29,808.6,8.686,3.5583772065655,,
,,4.001,119.6,114.3,33.93,811.6,8.746,3.36870026525199,,
,,4.417,108.6,115.9,33.25,809.0,8.546,3.48571428571429,,
,,4.13,121.9,114.6,33.73,805.7,8.493,3.39756892973614,,
,,3.895,105.3,115.2,32.9,804.7,7.96,3.50151975683891,,
,,3.961,120.2,116.1,33.05,807.4,8.231,3.51285930408472,,
,,4.456,115.5,114.2,32.06,802.1,8.049,3.56207111665627,,
,,4.302,118.7,114.8,32.21,806.3,8.275,3.56411052468178,,
,,4.525,113.2,114.2,33.68,814.1,8.763,3.39073634204276,,
,,4.318,109.6,114.7,32.44,817.6,8.011,3.53575832305795,,
,,4.548,115.5,115.6,34.73,809.8,8.433,3.32853440829254,,
,,4.405,119.6,116.2,33.82,813.0,8.995,3.43583678296866,,
,,4.302,118.7,114.3,33.61,814.3,7.162,3.40077357929188,,
,,4.243,108.8,116.4,33.95,812.2,7.464,3.42857142857143,,
,,4.194,116.1,115.3,33.65,810.0,7.402,3.42644873699851,,
,,4.168,110.7,116.4,34.23,809.4,8.275,3.40052585451359,,
,,4.098,122.0,115.6,35.71,805.4,8.87,3.23718846261551,,
,,4.107,117.6,115.3,33.45,802.4,8.781,3.44693572496263,,
,,4.227,105.1,116.2,34.58,801.3,8.763,3.36032388663968,,
,12,3.323,241.1,106.1,28.98,568.2,8.451,3.66114561766736,,
,,3.225,222.4,104.9,28.46,567.9,8.082,3.68587491215741,,
,,2.92,252.1,104.8,28.02,560.5,7.999,3.74018558172734,,
,,2.668,232.3,104.7,28.18,562.5,7.783,3.71540099361249,,
,,3.255,272.5,105.6,28.45,565.3,7.945,3.71177504393673,,
,,3.355,233.1,104.6,28.37,563.9,8.081,3.68699330278463,,
,,3.145,232.3,104.9,27.48,568.8,7.888,3.81732168850073,,
,,3.455,216.8,104.8,27.43,563.1,7.993,3.82063434196136,,
,,3.47,223.5,105.3,27.64,563.1,7.677,3.80969609261939,,
,,3.415,224.1,105.2,28.21,565.3,7.299,3.7291740517547,,
,,3.356,247.0,106.7,27.91,568.2,7.424,3.82300250806163,,
,,3.323,235.4,105.3,28.34,560.5,7.442,3.71559633027523,,
,,3.274,264.4,105.9,28.12,567.3,7.436,3.76600284495021,,
,,3.255,252.7,106.4,28.45,567.3,7.222,3.73989455184534,,
,,3.252,232.3,104.2,28.18,565.3,7.442,3.69765791341377,,
,,3.417,247.0,106.3,27.76,563.1,7.293,3.82925072046109,,
,,3.176,215.3,106.5,27.45,568.8,7.214,3.87978142076503,,
,,3.397,224.1,105.8,27.19,563.9,7.888,3.89113644722324,,
,,3.132,252.7,105.2,27.87,567.0,7.783,3.77466810190169,,
,,3.318,241.1,106.8,27.39,560.5,7.703,3.89923329682366,,
,13,3.04,163.2,80.84,17.91,576.4,7.219,4.51367950865438,,
,,2.889,177.6,80.07,18.14,590.6,6.299,4.41400220507166,,
,,2.933,191.7,79.63,17.76,597.5,7.559,4.48367117117117,,
,,2.68,207.9,79.71,17.23,569.6,6.626,4.62623331398723,,
,,3.002,163.0,80.23,17.78,573.5,7.114,4.51237345331834,,
,,2.791,174.9,80.78,17.65,556.3,6.408,4.57677053824363,,
,,2.937,157.0,80.65,18.19,553.7,6.773,4.43375481033535,,
,,2.913,195.9,79.12,18.23,519.4,6.635,4.34009873834339,,
,,3.087,158.7,79.34,18.35,530.5,7.219,4.32370572207084,,
,,2.621,165.1,79.85,17.18,529.6,7.006,4.64784633294529,,
,,2.74,178.0,79.51,17.83,502.6,6.814,4.45933819405496,,
,,2.788,163.2,79.54,17.56,509.7,6.635,4.52961275626424,,
,,3.02,179.0,80.62,18.97,486.7,7.559,4.24986821296784,,
,,3.113,182.2,80.15,18.26,513.5,7.757,4.38937568455641,,
,,2.933,165.1,80.27,18.32,517.0,6.217,4.38155021834061,,
,,2.937,207.5,79.36,18.39,519.4,6.174,4.31538879825992,,
,,2.679,191.3,80.57,17.87,522.0,6.44,4.50867375489647,,
,,2.755,174.5,79.29,17.36,468.0,6.541,4.56739631336406,,
,,2.68,165.1,79.12,17.66,519.4,7.969,4.480181200453,,
,,2.933,157.0,80.49,18.47,513.5,6.814,4.35787763941527,,
,14,2.094,121.6,89.47,25.5,544.8,8.596,3.50862745098039,,
,,1.961,112.6,88.65,26.27,549.2,9.486,3.37457175485344,,
,,2.406,104.6,90.65,26.05,551.2,9.125,3.47984644913628,,
,,2.438,105.0,89.46,26.94,548.9,8.597,3.32071269487751,,
,,2.503,111.4,89.23,25.98,547.1,9.67,3.43456505003849,,
,,2.382,124.4,89.35,26.69,545.4,9.538,3.34769576620457,,
,,2.46,103.6,88.36,26.61,545.0,9.197,3.32055618188651,,
,,4.429,112.8,88.94,25.94,546.8,9.538,3.42868157286045,,
,,2.385,105.0,88.35,26.76,544.1,9.125,3.30156950672646,,
,,2.272,107.1,88.91,25.51,552.5,9.331,3.48529988239906,,
,,2.34,112.8,90.57,27.4,551.2,8.899,3.30547445255474,,
,,2.114,121.6,90.46,25.91,545.1,8.294,3.49131609417213,,
,,2.038,120.8,89.67,26.91,545.6,9.486,3.33221850613155,,
,,2.06,124.6,90.42,25.12,545.8,8.531,3.59952229299363,,
,,1.853,117.6,88.89,25.73,560.8,9.07,3.45472211426351,,
,,2.429,120.8,90.87,26.87,549.4,8.057,3.38183848157797,,
,,2.216,124.4,88.68,26.98,545.5,8.458,3.28687916975537,,
,,2.385,135.2,90.67,25.12,548.2,8.531,3.60947452229299,,
,,2.253,123.1,90.65,27.45,546.7,8.294,3.3023679417122,,
,,2.385,107.1,89.57,27.19,544.8,9.538,3.29422581831556,,
,15,2.41,121.0,93.44,25.22,506.9,8.937,3.70499603489294,,
,,2.396,116.8,92.93,25.45,503.2,8.151,3.65147347740668,,
,,2.351,112.9,92.89,24.3,508.6,8.839,3.82263374485597,,
,,2.396,111.1,92.18,24.14,503.9,8.732,3.8185584092792,,
,,2.387,95.26,92.34,24.76,500.9,9.141,3.72940226171244,,
,,2.373,106.3,93.28,23.26,505.6,9.52,4.01031814273431,,
,,2.294,94.75,93.1,23.47,504.9,9.36,3.96676608436302,,
,,2.235,112.2,93.45,23.87,504.8,8.84,3.91495601173021,,
,,2.357,113.5,92.94,24.74,507.1,8.717,3.75666936135812,,
,,2.397,99.08,92.49,24.45,508.3,9.989,3.78282208588957,,
,,2.242,117.5,92.18,24.76,503.4,9.987,3.72294022617124,,
,,2.366,103.0,92.49,25.78,506.2,9.996,3.58766485647789,,
,,2.158,106.3,93.92,24.17,506.7,9.503,3.88580885395118,,
,,2.256,88.06,93.18,24.13,504.3,8.526,3.86158309158724,,
,,2.307,116.6,93.74,24.14,503.2,9.877,3.88318144159072,,
,,2.369,103.0,92.38,24.87,508.5,8.526,3.71451548049859,,
,,2.314,121.0,93.28,23.46,508.3,8.955,3.97612958226769,,
,,2.207,112.2,93.67,24.76,512.0,8.244,3.78311793214863,,
,,2.132,106.3,92.91,24.38,507.7,9.603,3.81091058244463,,
,,2.314,94.8,92.18,25.22,510.8,9.924,3.65503568596352,,
,16,1.854,188.5,76.62,24.96,664.3,17.99,3.06971153846154,,
,,1.797,268.1,75.19,24.58,659.3,17.67,3.05899104963385,,
,,1.829,253.0,75.89,24.04,665.1,17.44,3.15682196339434,,
,,1.886,226.2,75.32,23.82,663.1,18.81,3.16204869857263,,
,,1.928,225.7,75.12,24.65,660.4,18.04,3.0474645030426,,
,,1.955,178.9,76.45,24.97,657.1,17.79,3.06167400881057,,
,,1.987,210.8,76.98,24.65,657.8,18.88,3.12292089249493,,
,,1.925,202.4,76.35,24.51,662.1,18.29,3.11505507955936,,
,,1.954,213.3,76.72,24.27,664.2,17.25,3.16110424392254,,
,,1.901,249.7,76.23,24.66,672.4,19.29,3.09124087591241,,
,,1.987,206.0,76.19,24.24,671.1,19.6,3.14315181518152,,
,,1.885,213.3,76.29,23.16,674.0,17.99,3.2940414507772,,
,,1.93,202.4,76.38,23.85,678.1,18.44,3.20251572327044,,
,,1.928,180.4,76.17,23.87,669.6,17.67,3.19103477167993,,
,,2.01,178.1,76.27,23.56,679.9,19.36,3.23726655348048,,
,,1.816,176.8,75.83,23.98,671.1,18.29,3.16221851542952,,
,,1.911,203.6,75.12,24.18,672.4,17.67,3.10669975186104,,
,,1.89,239.4,75.87,24.78,670.7,17.79,3.06174334140436,,
,,1.662,235.8,75.12,24.65,664.2,17.44,3.0474645030426,,
,,1.888,188.5,75.82,24.32,657.1,17.53,3.11759868421053,,
,17,2.523,197.3,101.6,30.59,665.3,15.3,3.32134684537431,,
,,2.36,183.0,100.6,30.68,661.9,16.11,3.27900912646675,,
,,2.563,169.4,100.4,31.21,663.4,15.32,3.21691765459789,,
,,2.531,173.3,101.3,31.18,669.2,16.03,3.24887748556767,,
,,2.538,215.3,101.6,31.39,665.4,16.89,3.23669958585537,,
,,2.566,214.8,100.5,31.1,666.9,16.74,3.23151125401929,,
,,2.376,229.5,100.2,30.87,674.0,14.96,3.24586977648202,,
,,2.56,246.7,100.7,31.29,669.2,14.81,3.21828060083094,,
,,2.492,215.8,101.3,31.45,668.6,15.32,3.22098569157393,,
,,2.36,183.0,101.9,30.98,665.7,14.87,3.28921885087153,,
,,2.242,190.9,100.7,30.42,662.7,15.83,3.310322156476,,
,,2.317,204.1,102.3,30.83,659.3,16.67,3.31819656179046,,
,,2.487,192.9,102.1,31.27,659.4,16.81,3.26511032938919,,
,,2.567,182.2,101.7,30.13,662.6,15.34,3.37537338201128,,
,,2.387,202.7,100.3,30.67,663.9,15.98,3.27029670687969,,
,,2.514,232.4,101.8,31.65,666.9,15.59,3.21642969984202,,
,,2.483,227.9,102.6,31.03,668.2,14.76,3.30647760232033,,
,,2.543,200.7,100.3,31.21,665.8,14.84,3.21371355334829,,
,,2.549,192.9,100.9,31.82,663.5,14.24,3.17096165933375,,
,,2.206,180.4,100.2,30.28,660.6,15.98,3.30911492734478,,
,18,2.834,186.8,91.88,20.45,576.558,8.901,4.49290953545232,,1149.558
,,2.824,126.2,92.4,21.03,576.07,8.158,4.39372325249643,,1149.07
,,2.817,132.7,91.38,21.05,576.771,8.834,4.34109263657957,,1149.771
,,2.774,134.6,91.78,21.73,576.343,7.114,4.22365393465255,,1149.343
,,2.721,145.8,92.11,20.87,576.554,7.64,4.41351221849545,,1149.554
,,2.602,124.6,92.67,20.26,576.511,8.158,4.57403751233959,,1149.511
,,2.846,118.2,92.53,21.48,576.435,7.536,4.30772811918063,,1149.435
,,2.64,143.7,91.34,21.29,576.598,7.33,4.29027712541099,,1149.598
,,2.794,132.7,91.48,21.61,576.506,8.165,4.23322535863026,,1149.506
,,2.818,134.6,91.09,21.36,575.825,8.901,4.26451310861423,,1148.825
,,2.639,124.6,92.98,21.54,575.829,8.554,4.31662024141133,,1148.829
,,2.721,196.3,92.86,20.47,575.568,8.892,4.53639472398632,,1148.568
,,2.855,126.7,92.57,21.96,575.593,8.573,4.21539162112933,,1148.593
,,2.735,118.1,91.82,20.45,575.902,8.254,4.48997555012225,,1148.902
,,2.793,121.5,91.76,21.01,576.005,7.503,4.36744407425036,,1149.005
,,2.865,140.6,91.67,20.38,575.179,7.371,4.49803729146222,,1148.179
,,2.389,132.7,92.56,20.86,576.39,8.165,4.43720038350911,,1149.39
,,2.397,140.6,92.97,20.75,576.424,8.901,4.48048192771084,,1149.424
,,2.421,148.5,91.76,20.49,576.13,8.834,4.47828208882382,,1149.13
,,2.562,126.2,92.61,20.21,576.157,8.427,4.58238495794161,,1149.157
,19,2.886,184.7,96.16,30.97,573.4,8.808,3.10494026477236,,
,,2.828,180.2,96.66,31.42,580.9,7.654,3.07638446849141,,
,,2.845,199.3,95.72,31.56,583.0,7.882,3.03295310519645,,
,,2.864,182.7,95.89,31.13,575.4,7.434,3.08030838419531,,
,,2.685,201.9,96.21,31.72,578.5,7.601,3.03310214375788,,
,,2.602,208.2,95.44,31.36,583.7,7.536,3.04336734693878,,
,,2.822,226.5,96.45,31.53,597.3,7.503,3.05899143672693,,
,,2.866,184.7,96.95,31.29,608.7,8.253,3.09843400447427,,
,,2.865,187.5,95.64,31.24,611.7,8.901,3.06145966709347,,
,,2.838,182.7,95.91,30.65,619.6,8.892,3.12920065252855,,
,,2.599,193.3,96.73,31.47,624.4,8.808,3.07372100413092,,
,,2.825,209.7,96.77,31.78,633.9,7.81,3.0449968533669,,
,,2.835,219.1,95.65,32.21,613.1,8.158,2.96957466625272,,
,,2.828,220.9,95.12,32.23,616.0,7.64,2.9512876202296,,
,,2.672,176.3,96.61,31.43,601.6,7.536,3.07381482659879,,
,,2.856,194.2,96.7,32.34,598.1,8.165,2.99010513296228,,
,,2.83,177.4,95.23,32.73,592.4,8.158,2.90956309196456,,
,,2.832,202.9,95.89,32.05,592.5,7.33,2.99188767550702,,
,,2.87,186.5,95.45,31.24,578.0,8.834,3.05537772087068,,
,,2.886,206.4,95.12,31.16,576.0,8.954,3.05263157894737,,
,20,2.962,176.1,109.6,48.99,601.0,6.115,2.23719126352317,,
