Unnamed: 0,Num.,Height（ um）,Roughness （nm）,Length,Wideth,Adhesion (pN),Elastic modulus,Aspect Ratio
,,2.777,135.1,77.49,24.68,517.6,2.337,3.139789303079416
,,2.828,115.4,77.1,24.59,518.3,2.276,3.1354209028060187
,,2.871,119.1,76.97,24.08,524.7,2.392,3.1964285714285716
,,2.898,100.3,76.99,24.0,518.8,2.534,3.2079166666666663
,5,2.758,100.8,98.69,26.54,528.8,3.83,3.718538055764883
,,2.801,78.6,98.7,25.85,523.9,3.9,3.818181818181818
,,2.717,154.6,98.5,26.16,518.0,4.11,3.765290519877676
,,2.645,129.0,98.34,25.73,524.9,3.7,3.8219976680917216
,,2.593,136.9,98.82,26.27,520.0,3.63,3.76170536733917
,,2.643,111.4,98.62,25.87,518.4,3.83,3.812137611132586
,,2.746,123.9,98.97,26.34,523.9,3.89,3.7574031890660593
,,2.692,97.2,98.47,26.08,527.4,3.8,3.77569018404908
,,2.74,116.2,98.63,26.0,528.1,3.7,3.793461538461538
,,2.704,128.8,99.2,26.2,524.3,3.59,3.786259541984733
,,2.716,130.5,99.26,26.87,519.0,4.01,3.69408262002233
,,2.756,82.6,98.78,26.14,524.7,3.8,3.7788829380260136
,,2.732,115.2,98.89,26.55,526.4,4.01,3.7246704331450093
,,2.779,117.8,99.33,25.87,528.1,3.73,3.8395825280247387
,,2.74,101.2,99.65,26.76,526.4,3.3,3.7238415545590433
,,2.779,120.4,98.85,26.29,527.8,3.36,3.7599847850893875
,,2.804,139.6,98.74,25.43,525.8,3.7,3.8828155721588673
,,2.812,106.8,99.1,25.52,522.3,3.9,3.883228840125392
,,2.78,117.8,98.66,25.7,523.8,3.62,3.838910505836576
,,2.754,102.1,98.86,26.27,524.9,3.73,3.7632280167491436
,6,2.262,97.5,103.1,24.7,456.3,2.779,4.174089068825911
,,2.257,97.85,103.6,24.52,457.0,3.154,4.225122349102773
,,2.285,99.18,104.2,24.35,456.5,3.067,4.2792607802874745
,,2.233,97.86,102.9,24.88,456.7,2.929,4.135852090032155
,,2.205,114.6,103.9,25.34,460.2,2.775,4.100236779794791
,,2.313,187.5,103.6,25.03,466.3,3.282,4.139033160207751
,,2.382,104.4,103.0,25.06,456.0,3.14,4.1101356743814845
,,2.388,146.9,102.7,25.27,456.3,3.023,4.06410763751484
,,2.404,146.7,103.8,24.77,470.3,3.24,4.190553088413403
,,2.407,138.49,103.2,25.19,453.2,2.563,4.096863834855101
,,2.417,139.6,102.6,24.61,464.0,2.864,4.169036976838683
,,2.415,120.2,103.3,24.47,459.7,3.101,4.221495709031467
,,2.382,213.1,103.6,25.5,462.3,3.478,4.0627450980392155
,,2.399,141.2,103.8,25.08,467.2,3.468,4.138755980861244
,,2.358,116.3,103.4,24.76,472.7,3.182,4.176090468497577
,,2.356,96.06,103.5,24.7,459.1,3.335,4.190283400809717
,,2.337,74.37,103.8,25.39,456.5,3.154,4.0882237101220955
,,2.349,127.8,103.9,25.41,473.4,2.913,4.088941361668635
,,2.329,172.1,103.3,24.82,484.5,2.929,4.161966156325544
,,2.352,111.6,103.7,24.28,475.2,2.797,4.271004942339374
,7,2.086,101.0,82.74,20.54,468.0,4.582,4.02823758519961
,,2.105,152.4,83.82,20.87,469.8,4.008,4.016291327264015
,,2.171,127.2,83.59,21.14,473.6,4.355,3.954115421002838
,,2.23,136.1,83.33,20.93,471.4,4.034,3.981366459627329
,,2.265,102.7,84.52,21.01,468.9,4.538,4.0228462636839595
,,2.231,141.1,84.74,21.04,467.7,4.803,4.027566539923955
,,2.281,102.5,84.52,20.93,469.1,4.355,4.038222646918299
,,2.316,104.3,84.21,20.89,468.5,3.894,4.031115366203925
,,2.336,113.0,84.29,21.4,470.9,3.604,3.9387850467289724
,,2.345,108.5,83.82,20.67,472.7,3.847,4.055152394775035
,,2.34,103.7,84.05,21.2,469.1,4.064,3.964622641509434
,,2.355,120.2,84.74,20.83,468.6,3.847,4.068170907345175
,,2.364,129.3,84.27,20.87,468.1,3.537,4.037853378054623
,,2.359,97.3,83.8,21.34,467.2,3.605,3.9268978444236176
,,2.355,128.2,83.32,21.08,466.1,3.615,3.952561669829222
,,2.364,130.0,83.56,20.82,468.0,4.034,4.01344860710855
,,2.348,100.5,84.74,21.08,470.3,3.894,4.019924098671726
,,2.36,81.4,84.04,21.34,463.0,3.604,3.9381443298969074
,,2.357,104.2,84.52,20.57,471.9,3.467,4.10889645114244
,,2.341,148.8,84.99,21.34,467.7,3.847,3.9826616682286784
,8,3.149,108.7,96.52,37.81,495.6,2.571,2.5527638190954773
,,3.18,106.1,96.15,38.0,494.5,2.592,2.530263157894737
,,3.122,105.3,95.23,38.75,522.7,2.587,2.4575483870967743
,,3.024,108.9,95.23,38.56,506.8,2.463,2.4696576763485476
,,2.989,115.1,95.59,37.26,498.2,2.444,2.5654857756307035
,,3.043,97.5,95.04,37.82,502.2,2.427,2.512956107879429
,,3.013,124.8,95.96,37.36,494.7,2.504,2.568522483940043
,,3.038,90.3,95.42,38.24,495.6,2.627,2.4952928870292888
,,3.007,112.4,95.72,37.4,501.8,2.584,2.5593582887700537
,,3.056,107.5,94.62,38.01,504.4,2.612,2.489344909234412
,,3.134,114.4,94.95,36.54,499.1,2.517,2.598522167487685
,,3.161,93.4,95.69,37.2,499.3,2.463,2.572311827956989
,,3.18,121.2,95.14,36.27,504.4,2.439,2.6231044940722357
,,3.15,163.5,95.79,36.47,502.2,2.485,2.6265423635865095
,,3.085,97.5,95.67,36.74,511.5,2.652,2.603973870440936
,,3.071,90.3,95.15,36.54,496.4,2.868,2.603995621237001
,,2.931,110.8,95.47,36.93,498.9,2.725,2.5851611156241536
,,2.966,101.1,95.26,36.35,533.6,2.612,2.6206327372764786
,,2.931,116.2,95.14,36.67,506.1,2.469,2.59449140987183
,,2.941,93.7,94.86,36.62,495.6,2.494,2.590387766247952
,9,2.483,99.29,97.42,15.32,494.8,2.937,6.359007832898173
,,2.461,125.7,97.83,15.37,488.9,3.039,6.364996746909564
,,2.468,106.6,97.44,15.02,495.4,3.319,6.487350199733688
,,2.464,99.29,97.16,15.07,495.0,3.033,6.447246184472461
,,2.432,143.6,97.21,15.12,492.2,3.408,6.429232804232804
,,2.431,111.1,97.44,15.5,497.2,3.483,6.2864516129032255
,,2.345,127.8,97.35,15.67,501.6,2.831,6.212507977026164
,,2.411,114.7,96.52,14.87,494.1,3.196,6.490921318090114
,,2.371,152.2,97.32,15.18,489.9,3.131,6.411067193675889
,,2.359,145.8,97.52,18.81,498.3,2.931,5.184476342371079
,,2.467,157.2,97.5,15.39,504.6,2.937,6.3352826510721245
,,2.486,156.1,97.3,15.67,501.0,3.063,6.209317166560306
,,2.49,125.7,97.42,15.92,495.3,3.356,6.119346733668342
,,2.475,89.94,97.32,15.61,489.9,3.205,6.2344650864830236
,,2.457,172.2,96.9,16.02,500.2,3.359,6.04868913857678
,,2.444,102.5,97.48,15.54,500.3,3.021,6.2728442728442735
,,2.423,90.97,98.08,15.41,493.9,2.648,6.3646982478909795
,,2.393,165.6,97.64,15.5,498.8,3.315,6.299354838709678
,,2.431,147.9,97.9,15.61,503.3,2.924,6.27162075592569
,,2.475,142.8,97.76,15.71,491.8,2.684,6.2227880330999366
,10,3.346,100.5,93.68,27.72,518.9,3.115,3.37950937950938
,,3.381,98.1,93.73,26.67,518.1,3.872,3.5144356955380576
,,3.424,91.3,93.0,27.01,512.1,3.564,3.443169196593854
,,3.449,94.5,93.01,26.65,510.9,3.461,3.4900562851782366
,,3.439,97.0,93.07,26.01,510.7,3.629,3.5782391387927714
,,3.378,115.5,93.13,26.34,513.3,3.741,3.5356871678056185
,,3.347,126.4,93.17,26.67,510.0,2.679,3.4934383202099735
,,3.304,124.2,93.26,26.0,513.7,2.529,3.5869230769230773
,,3.251,81.0,94.37,26.33,513.2,2.516,3.5841245727307256
,,3.252,135.4,94.38,26.67,513.8,1.296,3.538807649043869
,,3.19,113.0,94.39,26.72,512.6,2.203,3.5325598802395213
,,3.252,117.7,94.8,27.02,510.6,2.925,3.5085122131754254
,,3.267,101.7,94.78,26.01,512.9,3.515,3.64398308342945
,,3.225,91.7,94.71,26.34,512.2,3.814,3.595671981776765
,,3.264,100.8,94.68,26.68,513.2,4.108,3.5487256371814095
,,3.303,91.5,94.36,26.35,516.6,4.654,3.5810246679316884
,,3.351,104.8,94.38,26.35,524.1,3.784,3.581783681214421
,,3.36,103.4,93.05,27.34,516.0,3.515,3.4034381858083393
,,3.246,115.6,93.26,27.72,515.4,3.749,3.364357864357865
,,3.334,107.3,93.28,27.09,513.2,4.186,3.4433370247323736
,11,2.937,95.9,99.9,30.54,523.8,2.292,3.271119842829077
,,2.913,116.8,99.46,31.73,518.3,2.37,3.1345729593444687
,,2.867,93.7,99.9,30.62,514.1,2.702,3.262573481384716
,,2.847,95.0,100.5,30.37,517.4,2.264,3.3091866973987485
,,2.872,94.9,101.0,30.53,519.2,2.068,3.308221421552571
,,2.944,109.1,100.2,30.93,517.2,2.066,3.239573229873909
,,2.971,149.3,99.72,30.1,516.9,2.359,3.312956810631229
,,2.948,127.7,99.4,30.39,519.8,2.842,3.2708127673576834
,,2.917,107.1,99.87,30.83,517.4,2.253,3.239377229970808
,,2.89,127.5,100.4,30.28,518.4,2.309,3.3157199471598418
,,2.843,95.9,100.2,30.1,514.1,2.592,3.3289036544850497
,,2.971,99.5,100.9,30.13,517.9,2.97,3.348821772319947
,,2.913,104.9,101.3,30.54,516.5,2.242,3.3169613621480027
,,2.9,115.1,99.04,30.32,519.7,2.055,3.266490765171504
,,2.893,126.6,99.29,30.6,524.0,2.874,3.2447712418300654
,,2.83,138.1,99.56,30.71,539.0,2.586,3.2419407359166397
,,2.948,126.6,100.0,30.56,523.1,2.694,3.2722513089005236
,,2.913,111.5,100.3,30.69,521.2,2.8,3.268165526230042
,,2.897,104.2,100.2,30.83,517.9,2.068,3.2500810898475514
,,2.872,109.4,99.72,30.51,518.2,2.56,3.2684365781710913
,12,3.192,110.7,80.22,34.56,486.8,2.958,2.3211805555555554
,,3.156,116.1,79.54,34.77,492.0,2.183,2.2876042565429966
,,3.107,118.5,79.46,34.11,500.0,1.678,2.3295221342714747
,,3.075,115.9,79.52,34.59,507.2,1.984,2.298930326684012
,,3.19,110.1,79.42,34.15,490.9,2.994,2.325622254758419
,,3.208,110.6,79.85,34.04,478.2,2.061,2.3457696827262042
,,3.166,110.2,79.7,34.81,488.4,2.443,2.289571962079862
,,3.206,99.2,79.8,33.96,481.1,2.361,2.34982332155477
,,3.228,97.5,80.19,34.15,496.6,2.5,2.3481698389458274
,,3.124,110.2,80.1,34.62,480.8,2.673,2.31369150779896
,,3.085,154.8,80.37,34.05,505.4,2.858,2.3603524229074893
,,3.161,150.7,79.37,34.3,489.1,2.775,2.31399416909621
,,3.207,106.6,79.64,34.27,503.8,2.673,2.3238984534578346
,,3.149,90.1,79.84,34.4,490.6,2.5,2.3209302325581396
,,3.131,104.8,79.13,33.37,481.9,2.361,2.371291579262811
,,3.097,92.3,79.38,33.8,497.2,2.661,2.3485207100591716
,,3.031,101.4,79.35,34.18,492.0,2.579,2.321533060269163
,,3.033,102.1,79.83,34.8,511.5,2.278,2.2939655172413795
,,3.075,123.2,80.31,34.56,480.8,3.223,2.3237847222222223
,,3.157,132.3,80.27,34.47,497.7,2.638,2.328691615897882
,13,2.94,102.2,98.55,23.09,424.5,3.556,4.268081420528367
,,2.977,105.1,98.96,22.75,413.9,3.511,4.34989010989011
,,3.048,112.9,98.53,21.33,419.5,3.671,4.619315518049696
,,3.065,126.5,98.2,22.67,424.5,3.766,4.331715924128805
,,3.04,115.8,98.31,23.27,427.6,3.858,4.224752900730555
,,3.036,116.3,97.69,23.14,429.2,3.743,4.221694036300778
,,2.958,139.9,98.34,22.75,434.7,3.973,4.322637362637363
,,2.969,116.0,97.55,22.55,426.3,3.979,4.3259423503325936
,,2.964,126.5,97.46,22.49,427.8,3.923,4.3334815473543795
,,2.929,112.9,97.48,23.47,421.3,3.887,4.153387302939923
,,2.845,105.1,98.03,23.35,432.0,3.685,4.198286937901499
,,2.777,102.2,97.71,21.97,432.0,3.7,4.447428311333637
,,2.808,109.9,97.34,22.63,415.1,3.656,4.301369863013699
,,2.883,111.9,97.12,22.24,403.4,3.757,4.366906474820144
,,2.94,124.8,97.53,22.16,450.9,3.684,4.401173285198556
,,3.007,131.7,98.35,22.5,456.7,4.013,4.3711111111111105
,,3.02,112.9,98.63,22.3,458.6,3.927,4.42286995515695
,,3.048,126.5,98.03,22.16,449.6,3.864,4.423736462093863
,,3.065,130.6,97.44,22.49,425.9,3.722,4.3325922632281015
,,3.02,112.4,97.94,22.69,419.5,3.945,4.316438959894226
,14,2.107,107.2,106.3,34.25,483.9,3.165,3.103649635036496
,,2.008,107.8,107.1,33.88,483.8,3.082,3.161157024793388
,,2.021,101.4,107.5,33.56,479.5,2.995,3.2032181168057208
,,2.088,108.1,106.9,33.52,477.3,2.769,3.189140811455847
,,2.048,115.0,106.7,33.34,469.7,2.894,3.200359928014397
,,2.072,124.0,106.1,33.65,473.7,2.914,3.153046062407132
,,2.008,105.2,106.3,33.81,463.7,2.966,3.144040224785566
,,1.92,126.0,107.0,33.37,461.0,2.995,3.2064728798321847
,,1.865,128.3,107.3,33.06,476.1,3.165,3.245614035087719
,,1.871,130.6,107.5,33.16,465.8,3.175,3.241857659831122
,,1.898,107.8,107.9,33.71,479.5,2.769,3.2008306140611094
,,1.988,115.1,107.2,32.96,502.8,2.894,3.2524271844660193
,,2.022,102.4,106.4,32.39,467.8,3.054,3.2849644952145725
,,2.087,108.1,106.9,32.54,479.5,2.914,3.285187461585741
,,2.111,113.6,107.7,32.82,465.8,2.894,3.2815356489945158
,,2.072,130.0,107.9,33.11,464.9,2.769,3.2588341890667474
,,2.008,144.3,107.1,32.84,463.7,3.157,3.2612667478684525
,,1.935,142.6,107.4,33.22,465.8,3.005,3.232992173389525
,,1.881,142.4,107.6,33.01,478.6,3.257,3.2596182974856105
,,2.072,130.5,107.7,33.25,479.5,2.922,3.2390977443609024
,15,2.442,94.3,112.2,20.34,438.0,3.45,5.51622418879056
,,2.446,93.5,111.4,20.48,434.4,3.351,5.439453125
,,2.46,103.3,111.9,20.73,439.9,3.966,5.397973950795948
,,2.454,98.5,112.0,19.84,436.3,3.899,5.645161290322581
,,2.442,103.0,111.4,20.39,441.4,3.208,5.463462481608632
,,2.429,100.4,111.6,19.2,447.0,3.936,5.8125
,,2.447,120.8,111.5,20.19,436.3,3.693,5.522535908865775
,,2.46,103.7,111.0,20.24,440.5,2.852,5.484189723320158
,,2.452,119.2,111.1,19.1,448.7,2.611,5.81675392670157
,,2.464,108.4,111.2,19.89,438.6,3.37,5.5907491201608845
,,2.462,111.5,112.0,19.55,438.4,3.535,5.728900255754476
,,2.469,98.5,111.7,19.84,452.0,3.676,5.630040322580645
,,2.5,137.0,111.9,19.99,447.2,3.499,5.597798899449725
,,2.491,122.7,111.6,20.35,438.6,3.954,5.484029484029484
,,2.478,130.7,111.0,20.11,449.1,3.966,5.519641969169568
,,2.445,119.6,111.4,20.88,453.3,3.276,5.335249042145595
,,2.444,118.4,110.8,20.68,448.7,3.535,5.3578336557059965
,,2.442,120.5,111.4,20.53,442.8,3.613,5.426205552849488
,,2.414,97.5,112.2,20.05,443.6,3.37,5.596009975062344
,,2.419,118.4,111.9,19.94,449.3,3.047,5.611835506519559
,16,3.158,91.8,113.1,29.34,485.3,3.055,3.85480572597137
,,3.147,97.8,111.4,29.31,482.6,3.059,3.800750597065848
,,3.195,117.6,110.6,29.29,484.3,3.141,3.776032775691362
,,3.21,112.9,110.2,28.84,486.4,3.228,3.8210818307905687
,,3.261,90.98,110.7,29.41,485.7,3.092,3.764025841550493
,,3.229,109.6,110.8,29.19,483.3,3.128,3.795820486467968
,,3.189,90.28,110.2,30.18,484.9,3.114,3.65142478462558
,,3.132,106.0,111.1,29.8,485.0,3.467,3.728187919463087
,,3.079,94.39,110.9,29.96,484.0,3.263,3.7016021361815756
,,2.998,106.2,109.8,30.02,487.8,3.234,3.657561625582945
,,2.916,90.28,109.6,30.15,481.7,3.128,3.6351575456053067
,,2.81,120.7,110.1,29.68,485.3,3.092,3.7095687331536387
,,2.708,88.65,110.9,29.97,485.6,3.028,3.7003670337003673
,,2.67,141.7,110.7,29.77,484.4,2.995,3.7185085656701378
,,2.751,108.8,111.1,28.96,486.0,3.012,3.8363259668508283
,,2.82,137.2,111.6,29.55,484.6,3.025,3.776649746192893
,,2.849,100.2,110.2,29.9,486.0,3.301,3.68561872909699
,,3.005,107.5,110.3,30.05,485.0,3.268,3.670549084858569
,,3.026,135.9,110.5,29.49,489.0,3.321,3.7470328925059344
,,3.09,165.8,111.0,29.96,483.1,3.235,3.704939919893191
,17,3.381,128.6,95.41,29.4,476.9,3.171,3.2452380952380953
,,3.397,107.6,96.0,28.87,475.0,3.027,3.325251125736058
,,3.39,109.2,94.8,29.57,475.3,2.888,3.2059519783564423
,,3.374,102.9,94.77,29.86,485.9,2.98,3.1738111185532483
,,3.273,113.1,94.87,29.53,477.8,2.838,3.2126650863528616
,,3.316,97.51,95.22,28.76,482.5,2.913,3.310848400556328
,,3.167,130.2,95.17,29.31,484.6,3.094,3.2470146707608327
,,3.203,114.8,95.15,29.6,480.3,2.835,3.214527027027027
,,3.31,106.4,96.3,29.31,489.3,2.847,3.285568065506653
,,3.345,107.6,96.38,29.12,485.9,2.675,3.309752747252747
,,3.381,110.8,95.33,29.96,497.9,2.71,3.181909212283044
,,3.346,107.0,96.46,29.31,489.8,3.264,3.2910269532582737
,,3.298,118.3,96.57,29.6,480.2,3.347,3.2624999999999997
,,3.39,100.1,96.73,28.95,481.6,3.31,3.3412780656303975
,,3.374,103.9,96.25,28.87,485.3,3.153,3.3339106338759956
,,3.343,113.8,95.79,29.47,493.6,2.968,3.250424160162878
,,3.252,126.8,95.79,29.68,493.9,2.987,3.227425876010782
,,3.137,107.6,95.52,29.27,481.6,3.086,3.263409634437991
,,3.216,122.6,96.74,29.73,495.9,2.886,3.253952236797847
,,3.397,107.9,95.05,28.8,506.7,2.852,3.300347222222222
,18,2.216,141.1,95.04,30.7,515.4,8.658,3.0957654723127037
,,2.199,101.6,95.88,31.73,516.4,8.17,3.021745981720769
,,2.171,123.3,94.27,30.88,514.5,8.871,3.052784974093264
,,2.162,136.9,94.75,31.45,511.4,8.443,3.012718600953895
,,2.131,120.0,94.91,31.27,516.1,8.654,3.035177486408698
,,2.162,121.9,94.56,31.06,513.5,8.611,3.044430135222151
,,2.171,127.6,94.5,31.35,515.3,8.535,3.014354066985646
,,2.178,123.8,94.23,30.7,526.7,8.698,3.0693811074918567
,,2.15,121.3,94.86,31.43,515.4,8.606,3.0181355392936684
,,2.161,121.6,95.04,31.65,513.6,7.925,3.002843601895735
,,2.159,104.8,94.86,31.54,517.9,7.929,3.0076093849080534
,,2.203,120.0,94.49,30.82,517.7,7.668,3.0658663205710575
,,2.24,125.8,95.23,31.34,521.8,7.693,3.0386088066368857
,,2.238,105.2,94.86,31.76,519.3,8.002,2.9867758186397984
,,2.231,134.9,94.67,31.71,517.6,8.105,2.9854935351624095
,,2.216,119.2,94.33,31.46,509.6,7.279,2.998410680228862
,,2.191,115.2,94.77,31.35,518.2,8.49,3.022966507177033
,,2.171,94.6,94.39,31.74,519.5,8.524,2.9738500315059864
,,2.125,107.5,95.04,31.43,528.5,8.23,3.0238625517021958
,,2.218,130.9,94.12,31.35,519.4,8.257,3.0022328548644337
,19,2.339,109.1,105.0,31.34,522.2,2.655,3.3503509891512446
,,2.306,113.7,104.2,31.76,523.9,2.588,3.2808564231738035
,,2.314,112.6,104.8,31.41,523.0,2.488,3.3365170327921043
,,2.227,130.5,105.8,30.27,520.3,2.778,3.495209778658738
,,2.298,124.5,105.2,30.76,525.3,2.728,3.4200260078023406
,,2.309,115.2,105.4,31.13,524.8,2.595,3.3858014776742693
,,2.272,128.5,104.7,30.7,512.2,2.539,3.41042345276873
,,2.288,138.2,104.2,30.34,519.1,2.563,3.4344100197758736
,,2.286,141.7,104.0,30.42,517.3,2.549,3.4188034188034186
,,2.278,184.9,104.8,31.45,525.2,2.433,3.3322734499205087
,,2.265,120.8,105.0,30.99,530.9,2.455,3.388189738625363
,,2.241,101.3,105.4,30.36,527.3,2.412,3.47167325428195
,,2.151,102.2,105.8,31.16,526.3,2.365,3.3953786906290113
,,2.242,103.7,105.6,31.45,525.1,2.324,3.357710651828299
,,2.265,109.7,104.1,31.8,524.7,2.398,3.273584905660377
,,2.272,101.8,104.3,31.62,522.2,2.574,3.2985452245414293
,,2.286,114.2,104.7,31.27,525.0,2.872,3.3482571154461147
,,2.263,104.4,105.0,31.1,521.4,2.728,3.3762057877813505
,,2.275,103.2,104.8,31.67,530.3,2.517,3.3091253552257656
,,2.289,109.1,104.3,31.63,528.4,2.556,3.297502371166614
,20,2.606,135.0,114.1,34.09,562.6,3.053,3.3470225872689934
,,2.588,156.1,115.0,34.26,562.7,3.289,3.356684179801518
,,2.521,131.2,114.6,34.87,560.5,3.278,3.286492687123602
,,2.467,136.8,114.4,34.86,561.8,3.302,3.281698221457258
,,2.443,122.1,114.3,34.65,562.7,3.449,3.2987012987012987
,,2.483,122.8,114.5,34.48,560.7,3.15,3.3207656612529006
,,2.52,132.1,114.0,34.16,561.4,3.118,3.337236533957846
,,2.576,169.1,113.8,34.23,562.0,3.137,3.3245690914402575
,,2.652,145.2,115.4,34.81,561.1,3.053,3.3151393277793737
,,2.636,109.0,115.2,34.7,561.0,3.167,3.3198847262247835
,,2.65,121.4,115.7,34.67,561.8,3.127,3.3371791173925582
,,2.672,148.3,115.4,34.48,560.8,3.017,3.346867749419954
,,2.671,124.2,115.3,35.16,564.4,2.874,3.27929465301479
,,2.666,182.8,114.6,34.54,560.8,3.073,3.3178922987840185
,,2.635,146.6,114.3,34.76,560.7,2.816,3.288262370540852
,,2.664,111.3,114.5,34.48,560.0,2.84,3.3207656612529006
,,2.647,101.4,115.2,34.81,564.0,2.799,3.309393852341281
,,2.605,132.5,114.8,34.66,571.2,2.908,3.3121754183496828
,,2.65,159.0,114.7,34.83,562.0,3.163,3.29313809933965
,,2.636,133.5,115.2,34.92,559.0,3.178,3.2989690721649483
,21,2.683,97.6,65.37,23.26,514.2,2.405,2.810404127257094
,,2.658,116.4,65.71,23.3,511.4,2.272,2.820171673819742
